Distance;Altitude;Easting;Northing;Longitude;Latitude
5663;3384.3;2618093.96;1142136.18;7.674043;46.430329
5694.9;3366.4;2618093.39;1142168.11;7.674037;46.430616
5726.8;3347.5;2618092.83;1142200.03;7.674031;46.430903
5758.8;3328.8;2618092.26;1142231.95;7.674025;46.43119
5790.7;3309.5;2618091.7;1142263.88;7.674019;46.431478
5822.6;3296;2618091.13;1142295.8;7.674012;46.431765
5854.5;3279.7;2618090.57;1142327.73;7.674006;46.432052
5886.5;3264.2;2618090;1142359.65;7.674;46.432339
5918.4;3246.9;2618089.44;1142391.58;7.673994;46.432626
5950.3;3230.6;2618088.87;1142423.5;7.673988;46.432914
5982.3;3214.7;2618088.31;1142455.43;7.673982;46.433201
6014.2;3199.9;2618087.74;1142487.35;7.673976;46.433488
6046.1;3188;2618087.18;1142519.27;7.67397;46.433775
6078.1;3175.3;2618086.61;1142551.2;7.673964;46.434062
6110;3161.6;2618086.05;1142583.12;7.673957;46.434349
6141.9;3147.4;2618085.48;1142615.05;7.673951;46.434637
6173.8;3134.5;2618084.92;1142646.97;7.673945;46.434924
6205.8;3124.8;2618084.35;1142678.9;7.673939;46.435211
6237.7;3112.9;2618083.79;1142710.82;7.673933;46.435498
6269.6;3097.8;2618083.22;1142742.75;7.673927;46.435785
6301.6;3084.4;2618082.66;1142774.67;7.673921;46.436073
6333.5;3070.4;2618082.09;1142806.59;7.673915;46.43636
6365.4;3056.5;2618081.53;1142838.52;7.673909;46.436647
6397.4;3043.7;2618080.96;1142870.44;7.673902;46.436934
6429.3;3031.9;2618080.4;1142902.37;7.673896;46.437221
6461.2;3011.7;2618079.83;1142934.29;7.67389;46.437509
